"","encuestadora_comisionado","trabajo_campo","muestra","participacion","PRC","PP","PSOE","Cs","Vox","Podemos","IU","Unidas Podemos","v1x2","last_day","fuente","titular","urlDW"
"1","SyM Consulting","23–25 Oct 2020",916,68.7,31,22.4,16.6,3.9,17.9,3.8,"1.8",NA,"8.6",NA,"https://twitter.com/Barometrocm/status/1332382233886388226","SyM Consulting","<a href= https://en.wikipedia.org/wiki/Next_Cantabrian_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> SyM Consulting </a>"
"2","ElectoPanel/Electomanía","1 Apr–15 May 2020",NA,NA,32.5,30,18.6,5,5.9,3.5,"1.4",NA,"2.5",NA,"https://electomania.es/ep-17my-cantabria/","ElectoPanel/Electomanía","<a href= https://en.wikipedia.org/wiki/Next_Cantabrian_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> ElectoPanel/Electomanía </a>"
"3","SyM Consulting","6–8 May 2020",807,67.6,37.9,21.2,20.4,4.3,6.8,5.5,"1.5",NA,"16.7",NA,"https://twitter.com/Barometrocm/status/1260979715189411842","SyM Consulting","<a href= https://en.wikipedia.org/wiki/Next_Cantabrian_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> SyM Consulting </a>"
"4","SW Demoscopia","30 Jan–7 Feb 2020",800,NA,32.5,22.4,22.5,3.9,8.6,NA,NA,"7.1","10.0",NA,"https://www.eldiario.es/cantabria/politica/PRC-Miguel-Angel-Revilla-candidato_0_996000702.html","SW Demoscopia","<a href= https://en.wikipedia.org/wiki/Next_Cantabrian_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> SW Demoscopia </a>"
