"","encuestadora_comisionado","trabajo_campo","muestra","participacion","PP","PSOE","Vox","Movement for Dignity and Citizenship","Caballas","Cs","v1x2","last_day","fuente","titular","urlDW"
"1","ElectoPanel/Electomanía","16 Aug-26 Sep 2020",NA,NA,38.9,22.1,15.6,10.9,"8.9","2.3","16.8",2020-09-26,"https://electomania.es/epauto30s20/","""EP Autonómico (30S): subida de MDyC y bajada del PP que dejan a la izquierda más cerca del Gobierno de Ceuta""","<a href= https://en.wikipedia.org/wiki/2023_Ceuta_Assembly_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> ElectoPanel/Electomanía </a>"
"2","SyM Consulting","12-13 Sep 2020",687,50.8,29.8,20.5,23.4,11.4,"9.7",NA,"6.4",2020-09-13,"https://twitter.com/Barometrocm/status/1306519033215422465","""Estimación oleada Septiembre 2020 Ceuta. Autonómicas 2023""","<a href= https://en.wikipedia.org/wiki/2023_Ceuta_Assembly_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> SyM Consulting </a>"
"3","SyM Consulting","22-23 Jun 2020",564,59.3,35.4,26.1,14.5,8.3,"9.2","1.8","9.3",2020-06-23,"https://twitter.com/Barometrocm/status/1276772711956713472","""Estimación oleada Julio 2020 Ceuta. Autonómicas 2023""","<a href= https://en.wikipedia.org/wiki/2023_Ceuta_Assembly_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> SyM Consulting </a>"
"4","SyM Consulting","25-26 May 2020",541,65.9,39.3,18.2,8.4,16.8,"12.0","1.4","21.1",2020-05-26,"https://twitter.com/Barometrocm/status/1267394447576371200","""Estimación oleada Mayo 2020 Ceuta. Autonómicas 2023""","<a href= https://en.wikipedia.org/wiki/2023_Ceuta_Assembly_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> SyM Consulting </a>"
"5","ElectoPanel/Electomanía","1 Apr-15 May 2020",NA,NA,40,24.2,16.4,7.6,"6.4","2.4","15.8",2020-05-15,"https://electomania.es/ep-17my-ceuta/","""EP (17My): Ceuta - trasvase de Vox al PP""","<a href= https://en.wikipedia.org/wiki/2023_Ceuta_Assembly_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> ElectoPanel/Electomanía </a>"
"6","SyM Consulting","1-2 Feb 2020",534,61.7,39.1,24.9,7.9,12.5,"10.1","1.6","14.2",2020-02-02,"https://twitter.com/Barometrocm/status/1225113530178973696","""Estimación oleada Febrero 2020 Ceuta. Autonómicas 2023""","<a href= https://en.wikipedia.org/wiki/2023_Ceuta_Assembly_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> SyM Consulting </a>"
